position,user,first_genre,track_name,track_id,popularity,explicit,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,artist,duration_ms,gender,age
21,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Rockabye (feat. Sean Paul & Anne-Marie),2hrUO4drrO63i7FYbCLBl2,79,False,0.383,0.717,0.73,0.0,9.0,0.398,-4.729,0.0,0.0568,102.002,0.792,"Clean Bandit, Anne-Marie, Sean Paul",251173,M,40
22,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Move Your Body,6GomT970rCOkKAyyrwJeZi,73,False,0.0169,0.848,0.821,0.000403,2.0,0.0962,-5.408,0.0,0.0527,125.051,0.249,"Öwnboss, Sevek",157444,M,40
23,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,86,False,0.00617,0.545,0.675,0.00197,6.0,0.209,-6.474,1.0,0.0279,124.97,0.162,Coldplay,267866,M,40
24,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,90,False,0.00143,0.513,0.73,9.54e-05,1.0,0.0897,-5.94,1.0,0.0598,171.001,0.334,The Weeknd,200040,M,40
25,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Hey Brother,4lhqb6JvbHId48OUJGwymk,79,False,0.0309,0.545,0.78,4.64e-05,7.0,0.0828,-4.867,0.0,0.0436,125.014,0.458,Avicii,255093,M,40
26,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,When We Were Young (The Logical Song),1CcLA0eaauck34YEIrvAAq,73,False,0.0526,0.657,0.914,6.32e-06,0.0,0.109,-4.513,0.0,0.0523,139.989,0.502,"David Guetta, Kim Petras",147432,M,40
27,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,87,False,0.0498,0.617,0.635,1.44e-05,11.0,0.164,-6.769,0.0,0.0317,103.019,0.446,"The Chainsmokers, Coldplay",247160,M,40
28,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Give It To Me - Full Vocal Mix,5ZduaRci3iNUiDfJbBfAaf,78,False,0.00116,0.874,0.869,0.00238,1.0,0.164,-5.996,0.0,0.0315,126.027,0.726,Matt Sassari,102860,M,40
29,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,81,False,0.0283,0.616,0.869,0.0,0.0,0.064,-3.911,1.0,0.0327,127.966,0.473,"Flo Rida, David Guetta",234560,M,40
30,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Conjure Dreams,3B82rCeX1aIZGC19Hf85fh,47,False,0.000189,0.687,0.743,0.877,2.0,0.0921,-8.085,1.0,0.0547,124.017,0.529,Maceo Plex,441090,M,40
31,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Underneath - Original Mix,5hj0HqaZqLIDlpYMZl3sRK,25,False,0.884,0.818,0.248,0.938,9.0,0.103,-22.071,0.0,0.05,126.014,0.249,Ben Klock,297013,M,40
32,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Sexy Bitch (feat. Akon),2dGxjfhFXDIUX9h5ImyKkE,80,True,0.0771,0.813,0.627,0.000616,11.0,0.131,-5.018,0.0,0.0486,130.011,0.801,"David Guetta, Akon",195853,M,40
33,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,79,False,0.239,0.715,0.605,1.41e-05,0.0,0.189,-5.128,0.0,0.0428,122.956,0.454,"Clean Bandit, Zara Larsson",212733,M,40
34,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Overdrive (feat. Norma Jean Martine),3bK1zVFBKIzYjmptmI4NsJ,77,False,0.00257,0.611,0.757,0.0,6.0,0.058,-3.546,1.0,0.03,126.963,0.279,"Ofenbach, Norma Jean Martine",155905,M,40
35,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,84,False,0.0928,0.918,0.609,0.0,10.0,0.139,-5.64,0.0,0.0791,128.008,0.304,"Flo Rida, T-Pain",231400,M,40
36,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Tell Me Why - MEDUZA Remix,7jrMFjEq0t09f7m3HnnWXl,69,False,0.087,0.561,0.928,0.894,6.0,0.332,-5.812,0.0,0.0371,125.988,0.182,"Supermode, MEDUZA",171428,M,40
37,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Thank You (Not So Bad),09CnYHiZ5jGT1wr1TXJ9Zt,83,False,0.0229,0.673,0.95,0.0823,11.0,0.398,-5.149,1.0,0.0488,150.019,0.563,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",140000,M,40
38,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Play Hard (feat. Ne-Yo & Akon),5YPMEOJ58kfl56VHxTgwx3,76,False,0.173,0.691,0.921,0.0,8.0,0.331,-1.702,0.0,0.0533,130.072,0.8,"David Guetta, Ne-Yo, Akon",201000,M,40
39,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,SNAP,5hx7w26Zi3zafMgvMTUqF6,81,False,0.107,0.565,0.636,9.9e-06,0.0,0.447,-8.198,1.0,0.0622,170.027,0.526,Rosa Linn,179551,M,40
42,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Rather Be (feat. Jess Glynne),61dCUoMCg28qEBzrW6htYM,79,False,0.162,0.799,0.586,2.03e-06,11.0,0.193,-6.735,1.0,0.0377,120.97,0.549,"Clean Bandit, Jess Glynne",227833,M,40
43,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,78,False,0.00364,0.758,0.913,6.92e-05,6.0,0.193,-2.926,0.0,0.113,128.04,0.658,"Majestic, Boney M.",186209,M,40
44,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Without You (feat. Usher),3UN6cIn3VIyg0z1LCuFSum,78,False,0.227,0.608,0.614,4.06e-06,2.0,0.157,-3.727,1.0,0.0285,127.884,0.402,"David Guetta, USHER",208133,M,40
45,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Be My Lover (feat. La Bouche) - 2023 Mix,2aQpISWUBToaF84DDiTeRV,74,False,0.0347,0.589,0.973,0.000945,8.0,0.45,-5.317,1.0,0.0426,126.003,0.115,"Hypaton, David Guetta, La Bouche",169523,M,40
46,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Bad Memories,3JhgPs7rbmzLBWRvHlel8U,70,False,0.122,0.607,0.755,0.0,5.0,0.144,-6.069,0.0,0.0468,123.994,0.664,"MEDUZA, James Carter, Elley Duhé, FAST BOY",147629,M,40
47,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Everytime We Touch,5YJtMNWKe55yr49cyJgxva,75,False,0.00281,0.633,0.976,1.29e-05,8.0,0.382,-5.362,1.0,0.0519,142.027,0.493,Cascada,197124,M,40
48,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Sorry,09CtPGIpYB4BrO8qb1RGsF,86,False,0.0797,0.655,0.76,0.0,0.0,0.299,-3.669,0.0,0.045,99.947,0.409,Justin Bieber,200786,M,40
50,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Memories (feat. Kid Cudi) - 2021 Remix,59o6ojGNGJOYiVJSzC6Lsa,69,True,0.108,0.709,0.783,4.1e-05,5.0,0.103,-5.944,0.0,0.0551,127.043,0.648,"David Guetta, Kid Cudi",162992,M,40
51,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Firestone,1I8tHoNBFTuoJAlh4hfVVE,78,False,0.393,0.704,0.634,3.17e-05,11.0,0.0952,-7.374,0.0,0.0428,113.927,0.411,"Kygo, Conrad Sewell",271634,M,40
1,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,I've Got You Under My Skin - 2024 Remastered,0G9qcE5Gz6xTz8jWXlRgBx,7,False,0.815,0.576,0.245,0.0,1.0,0.121,-13.363,1.0,0.0364,127.073,0.654,Frank Sinatra,223853,F,40
2,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",3Dgmyz32dxvtxvUTPS0CUI,70,False,0.957,0.429,0.258,0.893,7.0,0.115,-16.967,0.0,0.0549,78.809,0.0972,"Antonio Vivaldi, Florian Christl",112352,F,40
3,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",17i5jLpzndlQhbS4SrTd0B,71,False,0.89,0.275,0.157,0.842,7.0,0.186,-18.752,1.0,0.0636,73.289,0.304,"Johann Sebastian Bach, Yo-Yo Ma",152280,F,40
4,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Gymnopédie No. 1,5OPT7l9b5SMwfTQgLPoNl7,65,False,0.994,0.469,0.0128,0.937,7.0,0.0941,-36.856,1.0,0.119,72.765,0.354,"Erik Satie, Philippe Entremont",205866,F,40
5,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",2LKMUX3iN0tQOvggbalydj,68,False,0.986,0.169,0.0161,0.849,9.0,0.0805,-31.034,0.0,0.0445,127.578,0.0572,"Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",174266,F,40
6,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Fur Elise,1SiXH4X7Zz8ZlYB3llY6sW,52,False,0.994,0.213,0.193,0.873,9.0,0.0704,-21.349,0.0,0.0419,171.927,0.548,"Ludwig van Beethoven, Jean-Bernard Pommier",146200,F,40
7,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,69,False,0.378,0.577,0.307,0.0,9.0,0.18,-11.556,1.0,0.0428,125.165,0.575,Frank Sinatra,177400,F,40
8,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",6GzMz3s0K1YKwRVI36CgRx,66,False,0.991,0.343,0.0342,0.92,8.0,0.1,-25.591,1.0,0.0406,60.228,0.0378,"Franz Liszt, Jenő Jandó",270000,F,40
9,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846: I. Prelude",4i8ly7ffzWu8nfKLI8SZFj,63,False,0.989,0.221,0.126,0.897,0.0,0.0769,-25.367,1.0,0.0447,133.564,0.216,"Johann Sebastian Bach, Lang Lang",139306,F,40
10,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)",2oLjhx7w8Hyd3gry9cCXr7,65,False,0.899,0.358,0.167,0.96,7.0,0.103,-16.0,0.0,0.0354,144.601,0.6,"Johannes Brahms, Wiener Philharmoniker, Claudio Abbado",138706,F,40
11,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,78,False,0.689,0.477,0.433,0.000195,11.0,0.151,-6.473,0.0,0.0247,82.52,0.611,Etta James,156653,F,40
12,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto",630zE7N1xPxdK2Zz4S3rPA,60,False,0.995,0.278,0.00245,0.881,1.0,0.114,-41.53,0.0,0.0497,139.161,0.293,"Ludwig van Beethoven, Daniel Barenboim",403333,F,40
13,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Come Fly With Me - Remastered 1998,4hHbeIIKO5Y5uLyIEbY9Gn,68,False,0.847,0.494,0.338,0.0,6.0,0.165,-11.376,1.0,0.0464,134.106,0.499,Frank Sinatra,199093,F,40
14,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,72,False,0.723,0.521,0.516,0.0,2.0,0.257,-7.456,0.0,0.0369,136.483,0.569,Bobby Darin,172480,F,40
15,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Requiem In D Minor, K. 626: Sequence: VI. Lacrimosa Dies Illa",08B8Ki7qlUoT58Zd1trxkl,66,False,0.957,0.0733,0.0951,0.644,2.0,0.568,-24.366,0.0,0.0418,180.489,0.0731,"Slovak Philharmonic, Jaroslava Horska, Vladimir Ruso, Peter Mikulas, Stefan Klimo, Slovak Philharmonic Chorus, Jozef Kundlák, Magdaléna Hajóssyová, Wolfgang Amadeus Mozart",198666,F,40
16,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Carnival of the Animals: The Swan,3U8Fx7zNTQrctytkj6Gqgd,67,False,0.992,0.213,0.0656,0.969,7.0,0.0699,-24.81,1.0,0.0467,65.023,0.0384,"Camille Saint-Saëns, Isata Kanneh-Mason, Jeneba Kanneh-Mason, Sheku Kanneh-Mason",150146,F,40
17,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,78,False,0.726,0.271,0.165,1.54e-06,5.0,0.118,-20.652,1.0,0.0351,77.082,0.202,Louis Armstrong,139226,F,40
18,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Claro De Luna,4vbpZcq2I1Q52hkKQRMUwc,60,False,0.994,0.365,0.0668,0.938,1.0,0.101,-24.832,0.0,0.0557,145.824,0.119,Ludwig van Beethoven,230346,F,40
19,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,The Way You Look Tonight,0elmUoU7eMPwZX1Mw1MnQo,70,False,0.798,0.622,0.24,0.0,5.0,0.142,-14.067,0.0,0.0363,132.234,0.587,Frank Sinatra,202160,F,40
20,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,At Last,4Hhv2vrOTy89HFRcjU3QOx,77,False,0.547,0.274,0.348,0.0133,5.0,0.334,-8.631,1.0,0.0293,87.43,0.328,Etta James,179693,F,40
21,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Put Your Head On My Shoulder - Remastered,6YDDrg8llsRtAgLlIROzZc,70,False,0.829,0.579,0.396,0.0,7.0,0.247,-10.032,1.0,0.0306,110.113,0.524,Paul Anka,158906,F,40
22,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Moonlight Serenade,3XiFWZoHQtGUYIdtShPwPD,60,False,0.958,0.343,0.157,0.113,3.0,0.178,-11.116,1.0,0.0295,78.328,0.0673,Glenn Miller,201400,F,40
23,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Dream A Little Dream Of Me,3HuJDcOWx0gE9Yng2uWY7K,68,False,0.6,0.455,0.183,0.0,2.0,0.121,-18.085,1.0,0.0626,95.642,0.399,Louis Armstrong,196840,F,40
24,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Für Elise, WoO 59",6MQAB3vorg90FA3tQpbYXK,63,False,0.994,0.303,0.108,0.877,9.0,0.0805,-27.433,0.0,0.0473,126.931,0.18,"Ludwig van Beethoven, Nelly Kokinos",188466,F,40
25,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Young At Heart,0QbRfr3pJtHGxhIpIMYmbN,60,False,0.842,0.285,0.113,0.0,7.0,0.312,-21.134,1.0,0.0342,79.947,0.303,Frank Sinatra,174466,F,40
26,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",2nnXe7n3Vivs7OfQKRsfWD,63,False,0.876,0.362,0.569,0.91,7.0,0.327,-15.394,0.0,0.0345,148.692,0.746,"Antonio Vivaldi, Nigel Kennedy, English Chamber Orchestra",173426,F,40
27,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,I Don't Want To Set The World On Fire,777zXDJpBufzttU4AJ2dGO,68,False,0.962,0.445,0.146,1.05e-05,5.0,0.249,-16.064,1.0,0.0333,86.637,0.332,The Ink Spots,181066,F,40
28,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Unforgettable,648TTtYB0bH0P8Hfy0FmkL,72,False,0.92,0.349,0.182,0.0152,5.0,0.143,-13.507,1.0,0.031,136.094,0.178,Nat King Cole,191973,F,40
29,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Satie / Orch. Ducros: Gymnopédie No. 1,0Seumg0NAq7KS1r0Yso52H,68,False,0.942,0.0921,0.0183,0.94,7.0,0.195,-31.858,1.0,0.0513,166.979,0.039,"Erik Satie, Gautier Capuçon, Jerome Ducros, Adrien Perruchon, Orchestre de chambre de Paris",172120,F,40
30,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",5t0E9V1RiHBflzs71pfGGG,57,False,0.995,0.205,0.00644,0.872,1.0,0.115,-38.382,0.0,0.0604,163.137,0.147,"Ludwig van Beethoven, Jenő Jandó",315200,F,40
31,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Nice 'n' Easy - Remastered 1999,5Z7bkW3dsu8jLdv3dEGxly,61,False,0.773,0.536,0.148,0.0,0.0,0.101,-14.903,1.0,0.031,109.292,0.509,Frank Sinatra,165760,F,40
32,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",0ON4FYmS4Zch1NV0lhv9hX,62,False,0.943,0.473,0.211,0.417,5.0,0.06,-15.487,0.0,0.0524,144.222,0.237,"Antonio Vivaldi, Itzhak Perlman, Israel Philharmonic Orchestra",216160,F,40
33,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Jazz Suite No. 2: VI. Waltz 2,0pjCsB0XNSyqM9UazlTODC,69,False,0.984,0.322,0.184,0.902,0.0,0.0813,-18.312,0.0,0.0338,107.847,0.356,"Dmitri Shostakovich, Russian State Symphony Orchestra, Dmitry Yablonsky",193600,F,40
34,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy,74,False,0.686,0.425,0.373,0.0,4.0,0.077,-7.543,1.0,0.0801,78.231,0.663,Nat King Cole,155306,F,40
36,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",3zLTPuucd3e6TxZnu2dlVS,65,False,0.987,0.289,0.0306,0.911,9.0,0.102,-30.79,0.0,0.0446,125.61,0.118,"Ludwig van Beethoven, Igor Levit",214086,F,40
37,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,I've Got The World On A String,13apJo5WpOSe3qmfIYOCp2,59,False,0.756,0.603,0.44,0.0,2.0,0.728,-5.191,1.0,0.0489,123.146,0.525,Frank Sinatra,128399,F,40
38,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Smoke Gets In Your Eyes,2vSxjnyrWrtxyfzO47EX6q,64,False,0.92,0.203,0.295,2.05e-06,3.0,0.173,-11.155,1.0,0.0323,171.222,0.285,The Platters,160933,F,40
39,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,I Put A Spell On You,0sjxRg1VlYfx4YG7uxurrq,70,False,0.755,0.428,0.398,0.000537,6.0,0.172,-9.13,0.0,0.0295,88.886,0.365,Nina Simone,155026,F,40
40,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Misty,1f0Wfl3eLCLKv72SdkpviC,58,False,0.973,0.205,0.204,0.00246,5.0,0.368,-14.444,1.0,0.0352,185.316,0.136,Sarah Vaughan,182640,F,40
41,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,'Tis Autumn,0OFzGWNvMR7qvRsD14dxIT,64,False,0.966,0.403,0.0728,7.04e-05,7.0,0.106,-20.622,0.0,0.0603,178.645,0.152,Nat King Cole Trio,188933,F,40
43,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Strangers In The Night,74VR3AkGPhbYXnxcOYa16x,75,False,0.592,0.259,0.473,0.0,5.0,0.201,-8.275,1.0,0.0295,90.348,0.539,Frank Sinatra,157866,F,40
44,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Twilight Time - Single Version,3MpGQae6zAFd7Z1FdLV9fV,61,False,0.747,0.455,0.361,0.0,9.0,0.238,-12.562,1.0,0.0473,115.854,0.285,The Platters,168293,F,40
45,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,Feeling Good,6Rqn2GFlmvmV4w9Ala0I1e,76,False,0.863,0.451,0.326,0.0,7.0,0.192,-9.239,0.0,0.0372,81.726,0.55,Nina Simone,174000,F,40
46,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Consolations, S. 172: No. 3 in D-Flat Major. Lento, placido",1L4NadMj3Jj7YgGaikyhfr,63,False,0.993,0.368,0.00363,0.922,1.0,0.137,-36.759,1.0,0.035,69.363,0.085,"Franz Liszt, Daniel Barenboim",254000,F,40
47,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Bagatelle in A Minor, WoO 59 ""Für Elise""",5Z7itz1p9dFuXlLnIIab5v,38,False,0.995,0.341,0.0188,0.9,9.0,0.0816,-29.934,0.0,0.049,129.709,0.286,"Ludwig van Beethoven, Alfred Brendel",216600,F,40
48,0f547591ab654965b1a2369a42034e4b_Ömercan1,5,"Vivaldi: The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro",3RUBMVfbweULyfoVMXTOLV,60,False,0.952,0.468,0.162,0.97,4.0,0.106,-14.104,1.0,0.0387,105.306,0.434,"Antonio Vivaldi, Itzhak Perlman, Israel Philharmonic Orchestra",196826,F,40
